SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
SE,14,F,1,483.3,520.5,525.6,558.9,560.0,B
SE,14,F,0,402.9,441.3,406.7,453.5,460.0,B
SE,14,F,0,585.0,617.1,591.6,740.7,780.0,Q
BA,14,M,0,,,,,,A
AL,14,F,1,520.2,526.2,546.8,621.8,660.0,E
SE,14,F,1,580.0,597.3,577.5,683.8,720.0,H
SE,14,M,0,525.3,578.4,545.4,642.9,780.0,P
SE,14,M,1,529.6,501.8,515.1,414.4,680.0,C
SE,14,M,1,359.7,367.7,367.2,422.5,640.0,H
SE,14,M,1,578.0,615.9,578.8,737.8,700.0,K
SE,14,F,1,463.0,484.7,377.2,401.6,560.0,C
SE,14,M,1,549.0,598.3,560.0,677.2,560.0,O
SE,14,F,1,511.8,575.8,569.4,574.5,700.0,C
SE,14,F,1,329.6,453.2,490.6,419.3,660.0,B
SE,14,F,0,477.0,461.4,529.9,556.6,640.0,J
SE,14,F,0,537.1,613.0,611.8,506.1,820.0,Q
SE,14,F,1,377.7,384.3,340.2,483.4,440.0,A
SE,14,M,0,495.1,563.4,580.8,661.8,860.0,P
SE,14,F,1,462.2,549.6,587.5,670.5,620.0,O
SE,14,F,0,438.6,553.6,521.4,642.2,600.0,P
SE,14,M,0,379.2,562.6,608.3,725.5,620.0,D
AL,14,F,0,587.8,612.3,578.0,633.5,760.0,F
SE,14,F,1,496.0,571.6,570.5,524.7,440.0,G
SE,14,F,0,,635.4,596.4,,880.0,Q
SE,14,F,0,471.2,559.0,599.5,485.9,780.0,Q
SE,14,F,1,545.6,393.5,536.3,630.7,760.0,H
SE,14,F,1,368.5,445.0,505.5,460.3,580.0,B
SE,14,F,0,507.3,631.5,584.4,651.9,800.0,B
SE,14,M,1,375.7,408.3,469.6,531.6,340.0,F
BA,14,F,0,,,,,,E
BA,14,M,0,414.5,360.7,432.5,412.2,520.0,B
AL,14,F,1,,,,,,E
SE,14,M,1,563.8,567.2,488.7,579.5,780.0,E
BA,14,M,1,481.6,472.9,505.0,636.3,800.0,H
SE,14,M,1,501.8,587.5,521.7,707.9,800.0,D
SE,14,M,0,500.9,424.2,416.3,551.2,640.0,M
BA,14,F,1,535.8,628.7,584.8,621.2,840.0,A
AL,14,F,1,457.2,564.7,529.6,498.3,460.0,G
SE,14,F,1,479.0,580.7,615.1,643.9,740.0,C
BA,14,M,0,528.7,490.0,424.4,406.6,620.0,C
AL,14,F,1,431.6,553.8,551.2,596.5,780.0,J
BA,14,F,0,461.3,453.9,439.5,448.9,480.0,C
BA,14,F,1,497.9,500.5,557.4,515.8,620.0,C
SE,13,M,0,348.2,358.2,507.8,496.9,720.0,B
BA,12,M,0,450.2,348.0,434.8,409.7,340.0,C
